"","rowname","PHQ9_total","GAD7_total"
"1","bisexual","1.41 (0.92, 2.18)","1.18 (0.77, 1.83)"
"2","more_diverse","0.96 (0.64, 1.45)","1.03 (0.7, 1.52)"
